,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52
PF3D7_1111100,21.13497514,42.29841796,70.0054,79.11632405,89.29257209,98.6661,67.89663696,55.2969917,52.22125,42.12083717,32.74418196,26.54655,24.05601175,12.94700324,8.49146,7.838921817,7.202473263,6.46092,5.975879096,5.195708136,4.3158,6.922202254,8.831338487,9.4886,8.105585185,8.014956691,10.61491
PF3D7_0711700,8.069780342,4.769394365,2.83305,1.799270539,1.822148148,2.4123,1.696787407,1.492524521,1.693961,2.180306587,2.396515094,2.54366,4.745014123,9.98136779,11.5666,10.71102222,11.63896766,16.0351,17.37812491,19.58467306,24.8197,47.6062566,46.91230782,22.9346,19.65688727,16.56447818,12.7487
PF3D7_0800300,6.335067739,3.818643775,2.45997,1.737329066,1.680628333,1.883995,1.442032037,1.375281443,1.720531,1.756644593,1.752379846,1.8513105,3.569569669,7.013598896,8.02153,7.813463333,8.532373321,11.4546,12.51896455,14.07084999,17.0845,25.92033807,25.16649084,15.1805,14.33710202,12.94162063,10.06652
PF3D7_0506000,20.60868671,18.27952262,14.1788,13.10273897,11.43927105,9.46988,9.805554074,9.01183058,8.356405,6.665401991,5.661942012,5.71281,6.547020034,8.191632608,11.1975,9.557233333,9.285980098,10.88696,13.63378386,15.63020439,16.8317,18.20781092,18.34226667,17.8676,22.88063704,24.00340139,21.5931
PF3D7_1440200,17.92917145,20.32663713,23.1005,22.40342289,21.7794296,21.2994,15.21181973,9.768484816,8.84674,8.526905282,7.164982351,4.76479,5.463267797,2.838712348,2.67515,2.520626896,2.556095272,2.94488,3.926896342,4.699933042,5.19402,5.718747505,6.793415924,8.77471,10.26812248,12.79931567,16.4083
PF3D7_0829600,7.227951834,7.638009259,7.00695,7.759701504,10.10042886,13.6609,13.94250324,18.37953861,27.7632,24.85728303,22.23907353,17.69955,13.83486447,8.88304988,8.33922,8.089500305,7.608666109,6.49626,4.276026173,3.735311801,3.97713,4.433733385,4.478664681,4.09703,3.492387912,3.580877795,4.8502
PF3D7_0932400,8.236012974,12.37883761,18.1229,24.56116339,26.19030965,26.325,31.37666008,28.99414866,20.1364,18.35331163,15.7442845,12.3078,11.65454156,5.206540826,4.56026,3.16322348,2.76586447,2.73341,2.51520429,2.296510464,2.17062,3.630086667,3.949927037,3.40429,3.537653089,4.054458395,5.61181
PF3D7_1026200,6.172339239,8.864891502,13.1306,11.22885926,10.96226296,12.1023,5.97692963,3.937431114,4.514725,4.400135119,4.04516098,3.206885,2.692859165,2.446892747,1.951284,1.690060865,1.643338219,1.645618,1.788962554,2.030053084,2.3182,2.520565388,2.798166063,3.28585,4.985473654,5.470978889,5.44329
PF3D7_1337000,10.81339001,12.78636399,13.4636,10.28683251,7.126896443,5.08502,3.24345179,3.172626296,4.564195,3.940191359,3.239566962,2.687495,2.380538062,2.359332183,1.900558,1.78033315,1.613171512,1.414032,1.380660949,1.475843449,1.878761,2.090546951,2.535401989,3.14669,3.156740597,3.843428347,7.02168
PF3D7_1130200,1717.345202,1496.703408,1230.86,1071.648106,1149.082593,1456.29,869.7018205,454.8231436,327.914,293.5903142,288.5694142,319.353,494.2571245,996.3573932,1477.52,1827.393552,1943.94696,1972.97,1981.035673,2076.363438,2347.64,2403.854007,2311.776667,2023.91,2343.976667,2337.087728,1894.11
PF3D7_0109500,358.8091936,327.5565526,278.611,203.9573279,196.6994815,228.458,171.695037,156.4596667,142.441,109.3019367,72.48082901,48.6883,55.10781522,47.70625894,56.68,65.91854804,80.34095769,103.512,136.8261083,169.3507708,204.238,329.4846156,342.0452222,274.363,298.0982689,338.5280274,374.607
PF3D7_1004400,86.93425395,87.8795831,73.0082,62.2459558,58.04715984,56.2294,35.6101297,19.95496045,18.2921,19.05179969,17.67179491,14.76165,14.55782139,9.282875032,7.67412,6.503955737,6.677593336,8.27349,9.129525251,9.961818079,11.1017,19.28953963,21.50530741,20.4219,30.40188553,46.79427163,66.3117
PF3D7_1419800,37.1496348,55.12854314,76.8907,86.1469,107.6780135,139.672,82.20325926,63.01926667,51.815,39.54248737,25.58075766,15.69665,23.7415224,7.581086803,5.2642,5.059476117,4.469407105,3.42728,3.799331004,3.951954173,3.96961,6.833774456,10.13010285,12.7188,14.52607678,17.99158415,25.5038
PF3D7_0727800,37.22623053,34.97236944,33.7973,34.91912322,36.79722493,38.4469,31.22780624,22.0541954,17.83025,15.93715775,14.0040384,12.68655,14.88639315,13.90223448,21.7608,31.21009951,33.58599999,33.6948,38.73651306,40.02411481,38.7633,40.67633704,40.63065556,38.5871,44.58524815,45.49798151,40.6059
PF3D7_0412700,4.092586886,2.728593932,1.978043,1.431705876,1.540066667,2.14922,1.486681481,1.296209031,1.3898495,1.613808644,1.715740518,1.7932795,3.06193235,5.1603826,5.3914,5.253207407,5.830464989,7.93012,8.362019889,9.075793718,10.8531,18.88207251,18.68779166,10.21777,8.843254976,7.615424517,6.15583
PF3D7_1225100,13.07055447,13.44102213,12.4898,11.37761286,9.845819352,7.97255,6.600101424,4.644953868,4.692155,4.494760977,4.217900581,3.825525,3.069135,2.281079101,1.88082,1.713630734,1.724052576,1.902127,2.060747371,2.343756071,2.84807,3.447810738,4.112602884,4.80659,5.364158667,6.925828996,10.37014
PF3D7_0615800,6.371286655,8.676534311,12.1607,16.28715571,19.04400337,20.4981,21.00887174,20.1936332,15.31175,12.41577286,9.747505046,7.823285,8.118259593,3.737667069,3.24008,2.732173081,2.441925637,2.31443,2.41080037,2.405519259,2.29406,2.424421167,3.16801587,4.61334,3.723147407,3.664981538,4.91975
PF3D7_0924200,7.504090726,8.692548995,9.91819,8.807843885,7.19047821,5.72437,5.205676156,4.420149527,4.33904,4.872544974,4.543846985,3.261595,2.769626168,1.947385273,1.63051,1.532789305,1.637045154,2.17677,2.742739578,2.946386829,3.00146,3.095347839,3.415011332,4.04184,4.170742747,4.813943467,6.64548
PF3D7_1029100,6.785267041,10.11356633,12.9119,12.01364061,10.04121671,7.02811,4.675521751,3.219105744,3.704655,3.709114604,3.456322852,2.933605,2.336295474,2.025505298,1.746904,1.427826626,1.255119609,1.186654,1.371271037,1.414221741,1.352321,1.516521238,1.662725501,1.767256,2.166049319,2.917973939,4.27561
PF3D7_0905300,1.203441445,1.291941814,1.42287,1.354904846,1.327990636,1.326464,1.401053056,1.620158887,1.8952355,2.158855169,2.461529257,2.820135,2.408497456,2.037252134,1.991663,1.914221028,1.864934376,1.831036,1.662593514,1.571259247,1.536187,1.42999102,1.341443605,1.27802,1.174437349,1.152872296,1.172185
PF3D7_0323000,2928.012673,2658.709331,2307.99,2179.623247,2121.655594,2085.3,1983.207991,1782.854321,1169.964,741.575498,559.9380145,515.1455,507.4651396,395.8973437,616.498,642.7325612,825.042235,1382.13,1598.234762,2156.224653,3032.66,2460.26,2454.227671,3062.41,3153.866403,3153.02212,3073.09
PF3D7_0507100,1890.437712,1616.636202,1403.1,1254.495458,1352.92037,1715.95,913.166555,436.6634391,292.7095,231.6928733,234.2446224,304.0135,526.8564332,1354.199702,1876.85,2067.507229,2176.206138,2235.87,2240.526391,2335.069251,2746.91,3256.049104,3091.255185,2271.27,2524.951481,2539.057294,2202.08
PF3D7_1468200,199.2172084,115.7878842,69.3758,62.71519558,54.81783378,46.6777,78.74473704,76.62413819,36.4984,31.54473155,33.0213752,41.38605,33.15918006,28.15934556,32.9787,38.65649126,45.84131405,56.6495,91.68938197,144.2671743,205.034,241.860572,309.6967126,394.269,349.5765626,314.0733191,292.698
PF3D7_0312400,98.15634541,105.9816596,108.888,140.1759377,170.3041611,191.521,218.2478525,212.9705907,151.2905,109.9346968,106.6725316,129.6695,97.34384755,64.21253671,56.7332,46.29023111,37.75099613,32.0858,29.78329306,29.62281494,31.2413,48.14334061,53.47317407,52.7731,57.64506839,66.5173124,79.3271
