ID_REF	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
10379968	150.3	147.1442637	145	144.0617983	143	136.925188	131.7	133.75	135.8	126.55	117.3	132.15	147	144.313964	140.3	137.436036	135.9	136.9132768	139.3	147.1367232	153.6	152.2229508	150.1	148.9764539
10381006	694.7	818.7280352	897.8	930.0957612	959.1	1028.926204	1078.5	1030.15	981.8	1002.1	1022.4	982.5625483	924.6	895.920848	867	807.1166038	765.6	782.1	798.6	763.8	729	738.5	748	744.1
10388938	876.4	996.85	1050.3	1044.6801	1036	1031.47402	1025.3	994.0291882	946.8	907.3833204	859.5	764.5044454	684.3	665.1098686	650	620.0051222	598.9	597.3701499	596	587.9937853	581.2	630.6950084	717.1	796.6940005
10394538	450.3	396.35625	373.3	379.614841	389.4	397.235159	401.6	382.344324	351	325.8324717	304.7	291.5423418	280	263.3308624	253.1	260.5383728	276.2	306.4340472	333.3	338.9231135	345	405.0544664	459.8	441.9
10395259	2472	2416.534928	2339.3	2214.977449	2105.6	2067.778747	2034.1	1967.590462	1901.4	1854.943414	1831.4	1885.603896	1979.4	2057.93366	2149.7	2307.648156	2428	2452.714288	2462.2	2416.25	2370.3	2412	2453.7	2428.924981
10395805	1595.9	1642.825	1659.7	1640.728275	1610.7	1585.021725	1570.4	1585.623386	1614.4	1644.320838	1685	1775.255776	1841.2	1819.85	1798.5	1860.75	1923	1886.471682	1817.8	1724.106705	1652.5	1638.902741	1629.6	1619.443433
10397518	875.1	774.44375	728.8	729.1037975	730	777.0962025	823.6	759.6109483	667.2	608.3390517	577.9	613	648.1	629.2754054	605.5	597.4086463	592.6	589.5159483	588.1	683.2507415	795.8	822.735533	837.6	847.4137255
10399478	860.6	890.6870204	913.8	932.9317296	942.7	845.7	748.7	817.35	886	874.15	862.3	900.8756793	967.4	1026.54715	1086.8	1157.927171	1200	1192.783657	1174.4	1081.266343	999.3	1009.6	1019.9	962.2
10399680	240.9	218.8403008	204.5	196.3721992	192.7	203.95	215.2	195.4	175.6	183.5731061	197.3	209.8919059	221.8	229.857148	239.1	261.6739325	284.3	296.2039075	301.8	299.3031773	293.9	285.20581550000003	271.9	248.8636122
10401138	2627.3	2619.698822	2599.7	2480.258286	2355.7	2333.903609	2314.8	2272.737605	2207.1	2054.101679	1939.5	2088.3	2237.1	2223.2	2209.3	2274.35	2339.4	2333.1	2326.8	2362.35141	2402.2	2406.901778	2411.9	2501.0968119999998
10402615	3239.3	3192.174373	3132.4	3034.544377	2969	3098.85	3228.7	2908.605957	2526.2	2433.719666	2374.7	2328.560739	2281.5	2184.163638	2116.6	2136.9	2157.2	2149.25	2141.3	2522.248227	2962.6	3043.844425	3101.5	3193.357348
10404700	2794.6	2879.4125	2911.3	2884.275372	2838	2801.352387	2756.9	2662.07224	2594.3	2644.15	2694	2659	2624	2701.6	2779.2	2749.668987	2718.8	2716.731013	2716	2803.022236	2924.8	2994.277764	3029	2885.05
10406598	299.5	317.5936247	331.6	342.448786	349.4	352.6138393	354	352.1	350.2	372.9	395.6	395.3268519	394.6	389.6144943	384.8	384.5058057	384.2	373.6510821	353.2	318.301766	293.6	298.2411458	306.9	316.0906538
10407591	182.9	185.0389244	189	195.6460612	204.4	216.2462644	223.8	203.6089595	180	175.7403193	171.9	158.8507212	148.8	159.8210247	172.7	175.8289753	177.1	174.371256	169.2	161.578744	156.4	181.95	207.5	192.85
10409278	217.2	246.93125	254.6	222.45	190.3	229.65	269	193.9019166	110.4	98.41933778	91.6	86.30850174	81.7	75.34869218	71.1	70.37155172	70.1	94.85	119.6	107.8	96	151.4	206.8	190.25
10410644	154.2	163.1605801	167.9	169.0581699	169.5	165.15	160.8	164.85	168.9	161.9442244	151.3	144.7591718	138.6	130.0466038	124.8	128.95	133.1	131.2066106	127.2	118.6933894	112.3	121.0171324	138.7	171.1328676
10412921	187.5	202.5875	209.4	209.15	208.9	213.6	218.3	208.1	197.9	200.45	203	192.3	181.6	182.25	182.9	174.9	166.9	173.3	179.7	174.7	169.7	173.6077889	180	184.2014344
10426042	355.6	383.01875	394.8	392.5310924	387.3	371.7189076	359.1	375.65	392.2	369.8	347.4	356.3	365.2	347.040052	319.6	299.309948	288.3	299.70105	317.2	327.9073012	338.3	352.2198974	363.9	369.1936264
