,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34
PF3D7_1373500,2.965219024,2.109454168,1.696267,1.445573739,1.40082397,1.466038,1.606389788,2.171390551,3.81291,8.130138291,14.14745497,20.40265,23.65961568,27.83935087,31.6225,20.28414512,10.26032055,4.976975
PF3D7_1327500,1.328456539,1.757967897,2.695785,4.518341471,9.508660924,20.91235,36.86023573,47.83930315,8.83422,4.34249237,2.424521544,1.657291,1.348739707,1.215229944,1.1485301,1.09010927,1.088441234,1.1475655
PF3D7_1436000,301.4722824,240.4915041,191.689,137.439851,89.65122325,51.124,25.83228095,22.30455185,47.61615,91.31920099,133.8003524,175.3455,257.4594088,342.1809442,427.5285,473.4614424,462.9398775,377.755
PF3D7_1205500,42.71336968,45.4450657,60.4041,79.60316102,109.3426684,153.629,223.4388639,504.0194166,1045.564,677.7488846,404.4003304,268.4695,243.0504103,220.5514833,189.4955,133.0987256,80.21114502,45.90515
PF3D7_1219400,64.67737647,35.99810741,20.82265,10.57122766,5.910903847,4.035665,5.289651539,20.73990264,90.3191,253.4087315,423.1950237,559.282,657.4087758,785.5967246,901.3115,584.238512,292.1103933,127.6135
PF3D7_1148700,67.95802643,29.06267642,16.55515,10.58192965,7.348814604,5.593225,5.818379775,20.58530619,78.42825,163.1688925,282.5632768,451.412,727.0064866,927.9655283,1036.3745,803.428692,472.4108136,180.2675
PF3D7_1222700,28.85706573,45.72768815,77.858,117.389852,227.6663695,591.8975,2358.879996,3627.72276,3957.755,1710.909852,466.0396175,150.8175,60.00313737,35.33274414,27.6966,14.61445934,12.8733481,20.1174
PF3D7_1331300,83.85251998,123.3673745,165.7805,237.7461907,301.5145368,346.9,338.3204186,154.1026773,70.84705,35.42935351,15.47052902,7.034795,4.00083105,3.664066546,4.537225,7.000969041,17.12268429,46.9281
PF3D7_1421900,35.40883022,52.65357757,78.28995,139.100243,216.8248113,296.656,363.2295223,332.1126677,77.0808,37.38073442,15.94492434,6.689085,4.508578215,3.37142973,2.685165,3.722595967,8.370758778,21.9738
PF3D7_1439000,19.02201885,37.60563641,70.2456,121.7949488,200.5657838,276.754,263.0781938,201.9512402,73.6984,34.88793781,15.97557012,8.84642,5.446647743,3.816115457,2.98926,2.801336586,3.854924962,8.744185
PF3D7_0707400,74.06054678,63.8802558,53.05795,39.13366611,26.60459108,17.1128,11.98293553,9.155313756,8.846175,9.678034482,14.32173051,28.8309,43.1082588,51.97738593,59.39415,71.28488151,78.38280758,81.61845
PF3D7_0602200,80.2154971,74.1842167,63.39975,46.58976278,29.18160982,13.36975,9.634191652,7.874311223,13.31945,29.40723956,48.1616713,65.08385,74.72185318,79.56502284,82.4696,89.87285095,90.09423829,84.18495
PF3D7_0609800,6.497610317,9.111851397,13.3526,38.03222387,110.2546494,270.8915,493.129793,456.2415748,194.0685,92.06452054,40.29415005,20.98105,12.75864397,7.868462312,4.882035,3.266442184,3.155280418,4.47975
